Ответ из БЗ,Вопрос из БЗ,Классификатор 1 уровня,Классификатор 2 уровня,concat
"Главное — соблюдать несколько правил.

Тайм-код должен отображать время в формате минуты:секунды или часы:минуты:секунды. Например, 40:05 или 02:40:05.
Первый эпизод должен начинаться с отметки 00:00.
Перечислять эпизоды нужно в порядке их появления в видео.
Эпизодов может быть от 2-х и больше.
Эпизод должен быть не короче 2% от общей длительности ролика.
Минимальная длительность эпизода — не менее 10 секунд. Если вся длина видео меньше 10 секунд, разбить на эпизоды по тайм-кодам его не получится.
Пример видео с тайм-кодами есть здесь https://rutube.ru/video/e4c7c981dbb86eaf6aaedd518026ac28/?playlist=198152&playlistPage=1",В каком формате нужно добавлять тайм-коды под видео?,ВИДЕО,Загрузка видео,"Категория вопроса: Загрузка видео
Вопрос: В каком формате нужно добавлять тайм-коды под видео?
Ответ: Главное — соблюдать несколько правил.

Тайм-код должен отображать время в формате минуты:секунды или часы:минуты:секунды. Например, 40:05 или 02:40:05.
Первый эпизод должен начинаться с отметки 00:00.
Перечислять эпизоды нужно в порядке их появления в видео.
Эпизодов может быть от 2-х и больше.
Эпизод должен быть не короче 2% от общей длительности ролика.
Минимальная длительность эпизода — не менее 10 секунд. Если вся длина видео меньше 10 секунд, разбить на эпизоды по тайм-кодам его не получится.
Пример видео с тайм-кодами есть здесь https://rutube.ru/video/e4c7c981dbb86eaf6aaedd518026ac28/?playlist=198152&playlistPage=1"
"Главное — соблюдать несколько правил.

Тайм-код должен отображать время в формате минуты:секунды или часы:минуты:секунды. Например, 40:05 или 02:40:05.
Первый эпизод должен начинаться с отметки 00:00.
Перечислять эпизоды нужно в порядке их появления в видео.
Эпизодов может быть от 2-х и больше.
Эпизод должен быть не короче 2% от общей длительности ролика.
Минимальная длительность эпизода — не менее 10 секунд. Если вся длина видео меньше 10 секунд, разбить на эпизоды по тайм-кодам его не получится.
Пример видео с тайм-кодами есть здесь https://rutube.ru/video/e4c7c981dbb86eaf6aaedd518026ac28/?playlist=198152&playlistPage=2",В каком формате нужно добавлять тайм-коды под видео?,ВИДЕО,Загрузка видео,"Категория вопроса: Загрузка видео
Вопрос: В каком формате нужно добавлять тайм-коды под видео?
Ответ: Главное — соблюдать несколько правил.

Тайм-код должен отображать время в формате минуты:секунды или часы:минуты:секунды. Например, 40:05 или 02:40:05.
Первый эпизод должен начинаться с отметки 00:00.
Перечислять эпизоды нужно в порядке их появления в видео.
Эпизодов может быть от 2-х и больше.
Эпизод должен быть не короче 2% от общей длительности ролика.
Минимальная длительность эпизода — не менее 10 секунд. Если вся длина видео меньше 10 секунд, разбить на эпизоды по тайм-кодам его не получится.
Пример видео с тайм-кодами есть здесь https://rutube.ru/video/e4c7c981dbb86eaf6aaedd518026ac28/?playlist=198152&playlistPage=2"
"Главное — соблюдать несколько правил.

Тайм-код должен отображать время в формате минуты:секунды или часы:минуты:секунды. Например, 40:05 или 02:40:05.
Первый эпизод должен начинаться с отметки 00:00.
Перечислять эпизоды нужно в порядке их появления в видео.
Эпизодов может быть от 2-х и больше.
Эпизод должен быть не короче 2% от общей длительности ролика.
Минимальная длительность эпизода — не менее 10 секунд. Если вся длина видео меньше 10 секунд, разбить на эпизоды по тайм-кодам его не получится.
Пример видео с тайм-кодами есть здесь https://rutube.ru/video/e4c7c981dbb86eaf6aaedd518026ac28/?playlist=198152&playlistPage=3",В каком формате нужно добавлять тайм-коды под видео?,ВИДЕО,Загрузка видео,"Категория вопроса: Загрузка видео
Вопрос: В каком формате нужно добавлять тайм-коды под видео?
Ответ: Главное — соблюдать несколько правил.

Тайм-код должен отображать время в формате минуты:секунды или часы:минуты:секунды. Например, 40:05 или 02:40:05.
Первый эпизод должен начинаться с отметки 00:00.
Перечислять эпизоды нужно в порядке их появления в видео.
Эпизодов может быть от 2-х и больше.
Эпизод должен быть не короче 2% от общей длительности ролика.
Минимальная длительность эпизода — не менее 10 секунд. Если вся длина видео меньше 10 секунд, разбить на эпизоды по тайм-кодам его не получится.
Пример видео с тайм-кодами есть здесь https://rutube.ru/video/e4c7c981dbb86eaf6aaedd518026ac28/?playlist=198152&playlistPage=3"
"Да, Shorts монетизируются так же, как и другие видео на платформе, если вы соблюдаете правила RUTUBE: https://rutube.ru/info/adv_oferta/",Монетизируются ли ролики Shorts?,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"Категория вопроса: Отключение/подключение монетизации
Вопрос: Монетизируются ли ролики Shorts?
Ответ: Да, Shorts монетизируются так же, как и другие видео на платформе, если вы соблюдаете правила RUTUBE: https://rutube.ru/info/adv_oferta/"
"Да, в Студии RUTUBE можно проводить до 20 трансляций одновременно: https://studio.rutube.ru/create-stream",Можно ли запускать несколько трансляций одновременно?,ТРАНСЛЯЦИЯ,Управление трансляцией,"Категория вопроса: Управление трансляцией
Вопрос: Можно ли запускать несколько трансляций одновременно?
Ответ: Да, в Студии RUTUBE можно проводить до 20 трансляций одновременно: https://studio.rutube.ru/create-stream"
"Да, вы можете загружать ролики как формата Shorts, так и обычные.",Можно ли загружать видео или Shorts в приложении Студия RUTUBE?,ВИДЕО,Загрузка видео,"Категория вопроса: Загрузка видео
Вопрос: Можно ли загружать видео или Shorts в приложении Студия RUTUBE?
Ответ: Да, вы можете загружать ролики как формата Shorts, так и обычные."
"Да, вы можете создавать и загружать ролики как формата Shorts, так и обычные.",Можно ли в приложении Студия RUTUBE создавать и загружать видео?,ВИДЕО,Загрузка видео,"Категория вопроса: Загрузка видео
Вопрос: Можно ли в приложении Студия RUTUBE создавать и загружать видео?
Ответ: Да, вы можете создавать и загружать ролики как формата Shorts, так и обычные."
"Да, вы можете удалить записанный стрим с RUTUBE так же, как и любое другое видео. Для этого нужно выбрать ролик, нажать на него и выбрать пункт «Удалить». Обратите внимание: удаление ролика автором не предусматривает возможности его восстановления.",Могу ли я удалить запись трансляции после ее окончания?,ТРАНСЛЯЦИЯ,Управление трансляцией,"Категория вопроса: Управление трансляцией
Вопрос: Могу ли я удалить запись трансляции после ее окончания?
Ответ: Да, вы можете удалить записанный стрим с RUTUBE так же, как и любое другое видео. Для этого нужно выбрать ролик, нажать на него и выбрать пункт «Удалить». Обратите внимание: удаление ролика автором не предусматривает возможности его восстановления."
"Да, если вы — автор или правообладатель этих видео. Подробнее о требованиях к загружаемым роликам можно почитать в пользовательском соглашении: https://rutube.ru/info/agreement/.",Можно ли загружать видео на RUTUBE с YouTube?,ВИДЕО,Перенос видео с Youtube,"Категория вопроса: Перенос видео с Youtube
Вопрос: Можно ли загружать видео на RUTUBE с YouTube?
Ответ: Да, если вы — автор или правообладатель этих видео. Подробнее о требованиях к загружаемым роликам можно почитать в пользовательском соглашении: https://rutube.ru/info/agreement/."
"Да, если производитель ТВ не удалит приложение. Если приложение перестанет работать, рекомендуем приобрести приставку Smart TV на базе Android TV версии 7.0 и выше.",Будет ли приложение работать без обновлений на старых моделях Smart TV?,ДОСТУП К RUTUBE,Приложение ,"Категория вопроса: Приложение 
Вопрос: Будет ли приложение работать без обновлений на старых моделях Smart TV?
Ответ: Да, если производитель ТВ не удалит приложение. Если приложение перестанет работать, рекомендуем приобрести приставку Smart TV на базе Android TV версии 7.0 и выше."
"Да, если у вас есть ранее созданный аккаунт в RUTUBE.",Можно ли авторизоваться в приложении Студия RUTUBE под уже существующим аккаунтом?,УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация,"Категория вопроса: Регистрация/Авторизация
Вопрос: Можно ли авторизоваться в приложении Студия RUTUBE под уже существующим аккаунтом?
Ответ: Да, если у вас есть ранее созданный аккаунт в RUTUBE."
"Да, если у вас есть ранее созданный пароль. Если у вас нет пароля, то вы можете его создать в своем профиле внутри приложения Студии RUTUBE.",Можно ли авторизоваться (выполнить вход) в приложении Студия RUTUBE без ввода проверочного кода?,УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация,"Категория вопроса: Регистрация/Авторизация
Вопрос: Можно ли авторизоваться (выполнить вход) в приложении Студия RUTUBE без ввода проверочного кода?
Ответ: Да, если у вас есть ранее созданный пароль. Если у вас нет пароля, то вы можете его создать в своем профиле внутри приложения Студии RUTUBE."
"Да, запись будет сохранена с кадровой частотой 60 fps.","Если в трансляцию подать поток 60 FPS, то сохранится ли запись трансляции с этой кадровой частотой?",ТРАНСЛЯЦИЯ,Управление трансляцией,"Категория вопроса: Управление трансляцией
Вопрос: Если в трансляцию подать поток 60 FPS, то сохранится ли запись трансляции с этой кадровой частотой?
Ответ: Да, запись будет сохранена с кадровой частотой 60 fps."
"Да, запись приватной трансляции можно сделать публичной, отредактировав параметры доступа в Студии RUTUBE: https://studio.rutube.ru/videos",Можно ли открыть доступ к просмотру записи приватной трансляции для всех зрителей?,ВИДЕО,Загрузка видео,"Категория вопроса: Загрузка видео
Вопрос: Можно ли открыть доступ к просмотру записи приватной трансляции для всех зрителей?
Ответ: Да, запись приватной трансляции можно сделать публичной, отредактировав параметры доступа в Студии RUTUBE: https://studio.rutube.ru/videos"
"Да, запись приватной трансляции сохраняется и доступна только по ссылке.",Сохранится ли приватная трансляция?,ТРАНСЛЯЦИЯ,Управление трансляцией,"Категория вопроса: Управление трансляцией
Вопрос: Сохранится ли приватная трансляция?
Ответ: Да, запись приватной трансляции сохраняется и доступна только по ссылке."
"Да, конечно. Мы монетизируем любой контент, если он проходит модерацию и не нарушает правил платформы. Также будем признательны, если вы самостоятельно будете выставлять на своих роликах метку 18+.",Монетизируется ли контент с отметкой 18+?,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"Категория вопроса: Отключение/подключение монетизации
Вопрос: Монетизируется ли контент с отметкой 18+?
Ответ: Да, конечно. Мы монетизируем любой контент, если он проходит модерацию и не нарушает правил платформы. Также будем признательны, если вы самостоятельно будете выставлять на своих роликах метку 18+."
"Да, может. Для этого ему необходимо нажать на кнопку удаления напротив названия канала, к которому предоставлен доступ, в выпадающем меню своего профиля (вызывается нажатием на аватар в правом верхнем углу Студии) в Студии RUTUBE: https://studio.rutube.ru/","Может ли пользователь, которому предоставили доступ к студии канала, самостоятельно отказаться от него?",УПРАВЛЕНИЕ АККАУНТОМ,Персонализация,"Категория вопроса: Персонализация
Вопрос: Может ли пользователь, которому предоставили доступ к студии канала, самостоятельно отказаться от него?
Ответ: Да, может. Для этого ему необходимо нажать на кнопку удаления напротив названия канала, к которому предоставлен доступ, в выпадающем меню своего профиля (вызывается нажатием на аватар в правом верхнем углу Студии) в Студии RUTUBE: https://studio.rutube.ru/"
"Да, можно, но только если вы предоставите ссылку на страницу, где указаны однозначные условия такой лицензии на использование его материала.","Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?",МОДЕРАЦИЯ,Отклонение/блокировка видео,"Категория вопроса: Отклонение/блокировка видео
Вопрос: Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?
Ответ: Да, можно, но только если вы предоставите ссылку на страницу, где указаны однозначные условия такой лицензии на использование его материала."
"Да, можно, но только если: У вас есть разрешение от автора или правообладателя; Это произведение или его перевод перешло в общественное достояние. Произведение переходит в общественное достояние через 70 лет после смерти автора, считая с 1 января года, следующего за годом смерти.",Можно ли публиковать видео с чтением чужих книг и их переводов?,МОДЕРАЦИЯ,Отклонение/блокировка видео,"Категория вопроса: Отклонение/блокировка видео
Вопрос: Можно ли публиковать видео с чтением чужих книг и их переводов?
Ответ: Да, можно, но только если: У вас есть разрешение от автора или правообладателя; Это произведение или его перевод перешло в общественное достояние. Произведение переходит в общественное достояние через 70 лет после смерти автора, считая с 1 января года, следующего за годом смерти."
"Да, можно.","Можно ли вести трансляции на RUTUBE, если подать поток в 60 FPS?",ТРАНСЛЯЦИЯ,Управление трансляцией,"Категория вопроса: Управление трансляцией
Вопрос: Можно ли вести трансляции на RUTUBE, если подать поток в 60 FPS?
Ответ: Да, можно."
"Да, можно.",Можно ли запускать приватные трансляции на RUTUBE?,ТРАНСЛЯЦИЯ,Управление трансляцией,"Категория вопроса: Управление трансляцией
Вопрос: Можно ли запускать приватные трансляции на RUTUBE?
Ответ: Да, можно."
"Да, можно. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала"", внизу экрана нажмите на кнопку ""Удалить канал"".",Можно ли удалить канал через приложение Студия RUTUBE?,УПРАВЛЕНИЕ АККАУНТОМ,Удаление аккаунта,"Категория вопроса: Удаление аккаунта
Вопрос: Можно ли удалить канал через приложение Студия RUTUBE?
Ответ: Да, можно. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала"", внизу экрана нажмите на кнопку ""Удалить канал""."
"Да, можно. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала"".",Можно ли изменять название и описание профиля канала в приложении Студия RUTUBE?,УПРАВЛЕНИЕ АККАУНТОМ,Персонализация,"Категория вопроса: Персонализация
Вопрос: Можно ли изменять название и описание профиля канала в приложении Студия RUTUBE?
Ответ: Да, можно. Для этого нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала""."
"Да, можно. Для этого, в нижней части экрана нажмите на ""+"" и выберите ""Создать трансляцию"".",Можно ли в приложении Студия RUTUBE создавать и вести трансляции?,ТРАНСЛЯЦИЯ,Управление трансляцией,"Категория вопроса: Управление трансляцией
Вопрос: Можно ли в приложении Студия RUTUBE создавать и вести трансляции?
Ответ: Да, можно. Для этого, в нижней части экрана нажмите на ""+"" и выберите ""Создать трансляцию""."
"Да, можно. Для этого, в правом верхнем углу нажмите на фото своего профиля. Затем кликните на иконку фотоаппарата, на вашей текущей обложке или фотографии профиля.",Можно ли изменить обложку канала и фото профиля в приложении Студия RUTUBE?,УПРАВЛЕНИЕ АККАУНТОМ,Персонализация,"Категория вопроса: Персонализация
Вопрос: Можно ли изменить обложку канала и фото профиля в приложении Студия RUTUBE?
Ответ: Да, можно. Для этого, в правом верхнем углу нажмите на фото своего профиля. Затем кликните на иконку фотоаппарата, на вашей текущей обложке или фотографии профиля."
"Да, монетизация возможна, при условии подключения к партнёрской программе. Подробнее о монетизации можно узнать в FAQ: https://rutube.ru/info/monetization",Могут ли трансляции монетизироваться?,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"Категория вопроса: Отключение/подключение монетизации
Вопрос: Могут ли трансляции монетизироваться?
Ответ: Да, монетизация возможна, при условии подключения к партнёрской программе. Подробнее о монетизации можно узнать в FAQ: https://rutube.ru/info/monetization"
"Да, на RUTUBE можно загружать и горизонтальные, и вертикальные видео.",Могу ли я загружать вертикальные видео?,ВИДЕО,Загрузка видео,"Категория вопроса: Загрузка видео
Вопрос: Могу ли я загружать вертикальные видео?
Ответ: Да, на RUTUBE можно загружать и горизонтальные, и вертикальные видео."
"Да, на тех же условиях, что и цитирование. Использовать чужой контент в видео можно, только если у вас есть разрешение его автора или правообладателя либо это позволяет лицензия. Небольшие, короткие вставки или стоп-кадры можно использовать, но важно следить за тем, чтобы размер фрагмента был оправдан целью.",Могу ли я использовать небольшие фрагменты фильмов для создания своих видео?,МОДЕРАЦИЯ,Отклонение/блокировка видео,"Категория вопроса: Отклонение/блокировка видео
Вопрос: Могу ли я использовать небольшие фрагменты фильмов для создания своих видео?
Ответ: Да, на тех же условиях, что и цитирование. Использовать чужой контент в видео можно, только если у вас есть разрешение его автора или правообладателя либо это позволяет лицензия. Небольшие, короткие вставки или стоп-кадры можно использовать, но важно следить за тем, чтобы размер фрагмента был оправдан целью."
"Да, но нужно соблюдать несколько условий: Цитируемое произведение обнародовано правомерно; Указаны автор этого произведения и источник заимствования; Заимствована только небольшая часть произведения, и это оправдано целью видео.",Можно ли цитировать чужие произведения?,МОДЕРАЦИЯ,Отклонение/блокировка видео,"Категория вопроса: Отклонение/блокировка видео
Вопрос: Можно ли цитировать чужие произведения?
Ответ: Да, но нужно соблюдать несколько условий: Цитируемое произведение обнародовано правомерно; Указаны автор этого произведения и источник заимствования; Заимствована только небольшая часть произведения, и это оправдано целью видео."
"Да, но пока в плеере нет автоматической настройки под этот формат, поэтому изображение в таких видео будет растянуто. Если хотите опубликовать видео 360°, отправьте ссылку на него на help@rutube.ru — мы поможем настроить правильное отображение.",Можно ли загружать панорамные видео в формате 360°?,ВИДЕО,Загрузка видео,"Категория вопроса: Загрузка видео
Вопрос: Можно ли загружать панорамные видео в формате 360°?
Ответ: Да, но пока в плеере нет автоматической настройки под этот формат, поэтому изображение в таких видео будет растянуто. Если хотите опубликовать видео 360°, отправьте ссылку на него на help@rutube.ru — мы поможем настроить правильное отображение."
"Да, нужно подать заявку на монетизацию с каждого канала, а в анкету вписать данные одного и того же человека или организации. ",Можно ли подключить монетизацию нескольких каналов на одного человека или организацию?,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"Категория вопроса: Отключение/подключение монетизации
Вопрос: Можно ли подключить монетизацию нескольких каналов на одного человека или организацию?
Ответ: Да, нужно подать заявку на монетизацию с каждого канала, а в анкету вписать данные одного и того же человека или организации. "
"Да, перемотка доступна максимум на 1 час назад. Исключение – трансляции федеральных телеканалов, для которых перемотка недоступна.",Есть ли ограничения на перемотку трансляций (стримов)?,ТРАНСЛЯЦИЯ,Просмотр трансляции,"Категория вопроса: Просмотр трансляции
Вопрос: Есть ли ограничения на перемотку трансляций (стримов)?
Ответ: Да, перемотка доступна максимум на 1 час назад. Исключение – трансляции федеральных телеканалов, для которых перемотка недоступна."
"Да, права на персонажей фильмов/мультфильмов/игр/сериалов охраняются авторским правом, и их образы нельзя использовать без официального разрешения автора или правообладателя.",Нарушает ли авторские права использование образа персонажа игры/фильма/сериала?,МОДЕРАЦИЯ,Отклонение/блокировка видео,"Категория вопроса: Отклонение/блокировка видео
Вопрос: Нарушает ли авторские права использование образа персонажа игры/фильма/сериала?
Ответ: Да, права на персонажей фильмов/мультфильмов/игр/сериалов охраняются авторским правом, и их образы нельзя использовать без официального разрешения автора или правообладателя."
"Да, реклама показывается зрителю один раз перед началом трансляции.",Есть ли реклама на трансляциях?,ТРАНСЛЯЦИЯ,Просмотр трансляции,"Категория вопроса: Просмотр трансляции
Вопрос: Есть ли реклама на трансляциях?
Ответ: Да, реклама показывается зрителю один раз перед началом трансляции."
"Да, сохраняется. Как и видео с доступом по ссылке, записи таких трансляций не отображаются в списке роликов канала всем пользователям и доступны только по ссылке.",Сохраняется ли приватная трансляция?,ТРАНСЛЯЦИЯ,Управление трансляцией,"Категория вопроса: Управление трансляцией
Вопрос: Сохраняется ли приватная трансляция?
Ответ: Да, сохраняется. Как и видео с доступом по ссылке, записи таких трансляций не отображаются в списке роликов канала всем пользователям и доступны только по ссылке."
"Да, функционал по переносу видео с YouTube на RUTUBE доступен в Студии RUTUBE: https://studio.rutube.ru/. Для его подключения, пожалуйста, напишите нам на help@rutube.ru",Можно ли перенести видео с YouTube на RUTUBE-канал?,ВИДЕО,Перенос видео с Youtube,"Категория вопроса: Перенос видео с Youtube
Вопрос: Можно ли перенести видео с YouTube на RUTUBE-канал?
Ответ: Да, функционал по переносу видео с YouTube на RUTUBE доступен в Студии RUTUBE: https://studio.rutube.ru/. Для его подключения, пожалуйста, напишите нам на help@rutube.ru"
"Да, эмбедирование возможно аналогично эмбедированию видео. Подробнее в FAQ: Embеd: https://rutube.ru/info/embed/",Можно ли эмбедировать (встраивать) трансляции на сторонние сайты?,ВИДЕО,Встраивание видео,"Категория вопроса: Встраивание видео
Вопрос: Можно ли эмбедировать (встраивать) трансляции на сторонние сайты?
Ответ: Да, эмбедирование возможно аналогично эмбедированию видео. Подробнее в FAQ: Embеd: https://rutube.ru/info/embed/"
"Да, эмбедирование приватных трансляций также возможно. Подробнее в FAQ: Embеd: https://rutube.ru/info/embed/",Можно ли эмбедировать (встраивать) приватные трансляции на сторонние сайты?,ВИДЕО,Встраивание видео,"Категория вопроса: Встраивание видео
Вопрос: Можно ли эмбедировать (встраивать) приватные трансляции на сторонние сайты?
Ответ: Да, эмбедирование приватных трансляций также возможно. Подробнее в FAQ: Embеd: https://rutube.ru/info/embed/"
Да. Для этого при загрузке видео в блоке «Время публикации» поставьте галочку в поле «Запланировать» и выберите нужные дату и время.,Можно ли включить отложенную публикацию видео?,ВИДЕО,Загрузка видео,"Категория вопроса: Загрузка видео
Вопрос: Можно ли включить отложенную публикацию видео?
Ответ: Да. Для этого при загрузке видео в блоке «Время публикации» поставьте галочку в поле «Запланировать» и выберите нужные дату и время."
Да. Каждый канал должен быть зарегистрирован на отдельную почту. 1 почта = 1 канал. Создать 2 канала на одну почту пока не получится. Для подключения монетизации 5000 просмотров должно быть набрано на каждом канале. ,Можно ли создать несколько каналов и монетизировать их?,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"Категория вопроса: Отключение/подключение монетизации
Вопрос: Можно ли создать несколько каналов и монетизировать их?
Ответ: Да. Каждый канал должен быть зарегистрирован на отдельную почту. 1 почта = 1 канал. Создать 2 канала на одну почту пока не получится. Для подключения монетизации 5000 просмотров должно быть набрано на каждом канале. "
"Данные в разделе ""Монетизация"" RUTUBE Studio обновляются в личном кабинете ежедневно и отображают данные за предыдущий день.",Как часто обновляются данные по монетизации?,МОНЕТИЗАЦИЯ,Статистика по монетизации,"Категория вопроса: Статистика по монетизации
Вопрос: Как часто обновляются данные по монетизации?
Ответ: Данные в разделе ""Монетизация"" RUTUBE Studio обновляются в личном кабинете ежедневно и отображают данные за предыдущий день."
Делайте интересный контент и общайтесь с вашими подписчиками. Включите функцию «Поддержать автора».,Как мне получать донаты за публикации?,БЛАГОТВОРИТЕЛЬНОСТЬ ДОНАТЫ,Подключение/отключение донатов,"Категория вопроса: Подключение/отключение донатов
Вопрос: Как мне получать донаты за публикации?
Ответ: Делайте интересный контент и общайтесь с вашими подписчиками. Включите функцию «Поддержать автора»."
Длительность до 60 секунд. Вертикальная ориентация. Высота больше ширины.,Какие требования к Shorts?,ВИДЕО,Загрузка видео,"Категория вопроса: Загрузка видео
Вопрос: Какие требования к Shorts?
Ответ: Длительность до 60 секунд. Вертикальная ориентация. Высота больше ширины."
"Для выхода из аккаунта кликните на фото своего профиля в правом верхнем углу и нажмите на кнопку ""Выйти"" внизу экрана.",Как выйти из аккаунта в приложении Студия RUTUBE?,УПРАВЛЕНИЕ АККАУНТОМ,Персонализация,"Категория вопроса: Персонализация
Вопрос: Как выйти из аккаунта в приложении Студия RUTUBE?
Ответ: Для выхода из аккаунта кликните на фото своего профиля в правом верхнем углу и нажмите на кнопку ""Выйти"" внизу экрана."
Для подключения канала к монетизации верификация канала не требуется.,Обязательна ли верификация канала для подключения к монетизации?,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"Категория вопроса: Отключение/подключение монетизации
Вопрос: Обязательна ли верификация канала для подключения к монетизации?
Ответ: Для подключения канала к монетизации верификация канала не требуется."
Для подключения канала к монетизации верификация канала не требуется. Подробнее о монетизации на RUTUBE: https://rutube.ru/info/monetization.,Обязательна ли верификация канала для подключения к монетизации?,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"Категория вопроса: Отключение/подключение монетизации
Вопрос: Обязательна ли верификация канала для подключения к монетизации?
Ответ: Для подключения канала к монетизации верификация канала не требуется. Подробнее о монетизации на RUTUBE: https://rutube.ru/info/monetization."
"Для подключения монетизации размещенный на канале контент должен соответствовать правилам платформы в части п.4.6, 4.7 и 4.8: https://rutube.ru/info/agreement ",Почему заявка может быть отклонена?,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"Категория вопроса: Отключение/подключение монетизации
Вопрос: Почему заявка может быть отклонена?
Ответ: Для подключения монетизации размещенный на канале контент должен соответствовать правилам платформы в части п.4.6, 4.7 и 4.8: https://rutube.ru/info/agreement "
